,Constrs,Vars,NZs,presol_time,pConstrs,pVars,pNZs,CVars,IVars,BVars,pCVars,pIVars,pBVars,solved_with,obj_upper_bound,obj_lower_bound,gap,matrix_range_lower,matrix_range_upper,obj_range_lower,obj_range_upper,bounds_range_lower,bounds_range_upper,N,L,T,pot_circuits,formulation,target_gap,threads,walltime,region,co2limit,new_circuits,rel_exp_volume,abs_exp_volume,peak_mem,loading 0,candidates 0,building 0,solving 0,exporting 0
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c1_g0.01_pGTEP_angles,961,703,2544,0.01,472,527,1866,619,84,84,443,84,84,dual simplex,27776772216.02,27538312264.0,0.008585,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,168,1,1.0,angles,0.01,4,21600,DE-NL-LU,40.0,28.0,0.12293659170380085,6.655812761195182,416.08984399999997,0.6700167655944824,0.8700065612792969,1.7902436256408691,0.7623233795166016,1.534684419631958
elec_s_250_t1_rFR-BE_Co2L-1H_c1_g0.01_pGTEP_angles,908,623,2388,0.0,473,478,1805,537,86,86,392,86,86,nan,27569765921.83,27468253524.68,0.0036820000000000004,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,172,1,1.0,angles,0.01,4,21600,FR-BE,40.0,14.0,0.08371207864091643,4.395540583952262,414.51171899999997,0.6565017700195312,0.8533587455749512,1.719752073287964,0.7213385105133057,1.110443353652954
elec_s_250_t1_rES-PT_Co2L-1H_c1_g0.01_pGTEP_angles,505,356,1306,0.0,238,263,937,313,43,43,220,43,43,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,86,1,1.0,angles,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.164062,0.6095755100250244,0.4825339317321777,1.4287261962890625,0.5672433376312256,1.3640367984771729
elec_s_250_t1_rGB-IE_Co2L-1H_c1_g0.01_pGTEP_angles,521,404,1292,0.0,206,235,777,368,36,36,199,36,36,nan,12399321273.11,12399321273.11,0.0,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,72,1,1.0,angles,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,414.30859399999997,0.7132227420806885,0.4290239810943604,1.4479084014892578,0.6524741649627686,1.3032324314117432
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.01_pGTEP_angles,657,506,1696,0.01,298,356,1178,453,53,53,303,53,53,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,106,1,1.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,414.148438,0.6398344039916992,0.5951833724975586,1.7344284057617188,0.7632372379302979,1.5720443725585938
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.01_pGTEP_angles,377,265,984,0.0,186,180,696,231,34,34,146,34,34,nan,13010813817.21,12996812620.96,0.001076,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,66,1,1.0,angles,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,10.0,0.24458377560873754,5.312616487020321,413.359375,0.5900781154632568,0.3690364360809326,1.4735567569732666,0.5727043151855469,0.8451945781707764
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.01_pGTEP_angles,600,454,1498,0.0,278,263,1009,408,46,46,217,46,46,nan,17571499654.44,17417285385.27,0.008776,0.01,20000.0,1.0,40000000.0,1.0,1000000.0,30,92,1,1.0,angles,0.01,4,21600,SE-FI-DK-NO,40.0,6.0,0.06936589429685103,2.6654711159478146,414.320312,0.5838701725006104,0.4903943538665772,1.642514944076538,0.6446089744567871,1.474156618118286
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.01_pGTEP_angles,430,316,1112,0.0,205,226,792,279,37,37,189,37,37,nan,13626234640.35,13584010234.37,0.003099,0.04,40000.0,1.0,40000000.0,0.8,1000000.0,23,74,1,1.0,angles,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.06994500246135996,2.4137890563412983,412.58984399999997,0.5584287643432617,0.4385802745819092,1.3104562759399414,0.5914559364318848,0.7896082401275635
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c2_g0.01_pGTEP_angles,1381,871,3888,0.01,893,700,3214,703,168,168,532,168,168,dual simplex,27207911938.12,27064785012.82,0.00526,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,252,1,2.0,angles,0.01,4,21600,DE-NL-LU,40.0,36.0,0.15271173433121374,8.267845204256755,417.26953100000003,0.6259293556213379,1.6503183841705322,2.0141847133636475,0.8425638675689697,1.4376983642578125
elec_s_250_t1_rFR-BE_Co2L-1H_c2_g0.01_pGTEP_angles,1338,795,3764,0.01,904,653,3182,623,172,172,481,172,172,dual simplex,27373429851.86,27278619519.18,0.003464,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,258,1,2.0,angles,0.01,4,21600,FR-BE,40.0,23.0,0.13690509374991233,7.1885910073841774,415.453125,0.6582095623016357,1.64552903175354,2.2207980155944824,0.8020596504211426,1.054302453994751
elec_s_250_t1_rES-PT_Co2L-1H_c2_g0.01_pGTEP_angles,720,442,1994,0.0,453,349,1617,356,86,86,263,86,86,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,129,1,2.0,angles,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.73046899999997,0.6625239849090576,0.8800344467163086,2.0554063320159908,0.6512117385864258,1.3500912189483645
elec_s_250_t1_rGB-IE_Co2L-1H_c2_g0.01_pGTEP_angles,701,476,1868,0.01,392,323,1385,404,72,72,251,72,72,nan,12399321273.11,12389142382.83,0.0008210000000000001,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,108,1,2.0,angles,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,413.66796899999997,0.6419672966003418,0.7426290512084961,1.60044264793396,0.7919547557830809,1.4971940517425537
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.01_pGTEP_angles,922,612,2544,0.01,569,472,2057,506,106,106,366,106,106,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,159,1,2.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,416.50390600000003,0.6673288345336914,0.9807522296905518,1.6535634994506836,0.7243201732635498,1.4030396938323977
